site_net_kwh,site_net_kvarh,kva,tariff
-8.837422958,1.829123312,36.09891669,OFF-PEAK
-8.837422958,1.829123312,36.09891669,OFF-PEAK
-4.950448381,1.851013696,21.14074393,OFF-PEAK
-4.950448381,1.851013696,21.14074393,OFF-PEAK
-4.923942247,1.855483426,21.04776511,OFF-PEAK
-4.923942247,1.855483426,21.04776511,OFF-PEAK
-0.564743584,1.842176317,7.707190305,OFF-PEAK
-0.564743584,1.842176317,7.707190305,OFF-PEAK
-0.741451143,1.714261299,7.470948103,OFF-PEAK
-0.741451143,1.714261299,7.470948103,OFF-PEAK
2.874546505,1.811338134,13.59056346,OFF-PEAK
2.874546505,1.811338134,13.59056346,OFF-PEAK
2.803863481,1.789164775,13.30429165,OFF-PEAK
2.803863481,1.789164775,13.30429165,OFF-PEAK
3.158647615,1.758422577,14.46048669,OFF-PEAK
3.158647615,1.758422577,14.46048669,OFF-PEAK
3.13655917,1.714077735,14.29744923,OFF-PEAK
3.13655917,1.714077735,14.29744923,OFF-PEAK
3.185153749,1.76728173,14.57037494,OFF-PEAK
3.185153749,1.76728173,14.57037494,OFF-PEAK
3.198406816,1.740574809,14.56538737,OFF-PEAK
3.198406816,1.740574809,14.56538737,OFF-PEAK
3.132141481,1.780338917,14.41106071,OFF-PEAK
3.132141481,1.780338917,14.41106071,OFF-PEAK
3.13655917,1.789170398,14.4438965,OFF-PEAK
3.13655917,1.789170398,14.4438965,OFF-PEAK
3.140976859,1.758277472,14.3984862,OFF-PEAK
3.140976859,1.758277472,14.3984862,OFF-PEAK
3.145394548,1.723274315,14.34611096,OFF-PEAK
3.145394548,1.723274315,14.34611096,OFF-PEAK
3.158647615,1.639282077,14.23477459,OFF-PEAK
3.158647615,1.639282077,14.23477459,OFF-PEAK
3.176318371,1.696418045,14.40379537,OFF-PEAK
3.176318371,1.696418045,14.40379537,OFF-PEAK
3.149812237,1.687568891,14.29361026,OFF-PEAK
3.149812237,1.687568891,14.29361026,OFF-PEAK
3.13655917,1.67432351,14.22187759,OFF-PEAK
3.13655917,1.67432351,14.22187759,OFF-PEAK
3.163065304,1.687734367,14.3406719,OFF-PEAK
